autor,song_name,lyrics
Calibre 50,Corrido De Juanito,"   Casi catorce años sin ir a mi tierra a donde nací Ya todo ha cambiado, le ruego a mi Dios, no se olviden de mí Se murió mi madre Y dice mi padre que ya está muy viejo y no quiere venir Y yo sin poder ir, y yo sin poder ir   Trabaje y trabaje, tengo muchos días que no miro el sol Mis hijos son grandes y no les entiendo, no hablan español No han sentido miedo Aquel que no ha visto una camioneta de migración O una deportación, o una deportación  De botitas y sombrero, me miran seguido por el freeway Jardinero o cocinero, igual me la rifo, dirán anyways Y aunque me miren pa' abajo la cara levanto Empinándome un bote Como quiera, soy amigo y también Mexicano Mexicano hasta El Tope   Y como mucho cariño de parte Calibre 50 Corrido para toda la Raza   La vida no es fácil y menos acá, lo que dicen no es cierto Nomás de acordarme las miles de cruces que vi en el desierto Las noches son tristes Pensando y pensando en los que se quedaron, se me pasa el tiempo Y en ver a mi viejo, y en ver a mi viejo   Más que agradecido estoy con mi dios por lo que me ha dado Les mando un saludo a todos mis primos, mis tíos y hermanos Con los ojos tristes Y paso cansado, promete Juanito que va a visitarlos Y poder abrazarlos, y poder abrazarlos  De botitas y sombrero me miran seguido por el freeway Jardinero o cocinero, igual me la rifo dirán anyways Y aunque me miren pa' abajo la cara levanto Empinándome un bote Como quiera soy amigo y también mexicano Mexicano hasta El Tope2"
Calibre 50,El Inmigrante,"Apenas tenia 17 Cuando cruce la frontera Se lo prometí a mi viejesita Sacarla de la pobreza Me quemaban las noches de frio Por poquito me ahogaba en el rio Y aquellos que sufrieron lo mismo Les dedico este corrido  Soy uno de tantos Mexicanos Que trabajan día con día Para darle futuro a mis hijos Y ayudar a mi familia Como extraño mi rancho querido Mis amigos que no los olvido Y a mis viejos que hace varios años Que no los he visto Piensan que por que brinque la linea Soy un narcotraficante Ya basta de mil humillaciones Nomas por ser ""Inmigrante"" Estoy cantando por toda mi gente No lo olviden tenganlo presente Que aquellos a los que no querían Hoy los hacen presidentes    El trabajo aquí ha sido muy duro Pero nunca me he rajado Y las cosas que yo he conseguido Con esfuerzo me he ganado Y aquel que se fue pal otro lado Y dejo en su país su pasado Quien pensaba de aquel muchachito Y miren lo que a logrado  Nos han prometido tantas cosas Y no nos han dado nada Igualdad, respeto, y tolerancia Es lo que pide mi raza Estoy cantando por toda mi gente No lo olviden tenganlo presente Y aquellos a los que no querían Hoy los hacen presidentes"
Los Tigres Del Norte,De Paisano A Paisano,"Como el águila en vuelo, como la fiera en celo Desafiando fronteras, defendiendo el honor He pasado la vida explorando otras tierras Para darles a mis hijos un mañana mejor  Si la muerte me alcanza en su loca carrera Envuelto en mi bandera que me lleven allá Que me canten el himno de mi patria diez meses O me muero dos veces si me entierran acá  De paisano a paisano, del hermano al hermano Por querer trabajar Nos han hecho la guerra patrullando fronteras No nos pueden domar De paisano a paisano, del hermano al hermano Es de hombres es llorar Como duele la patria cuando llora mi raza Llanto internacional  De paisano a paisano, antes de seguir cantando, yo le pregunto al patrón ¿Quién recoge la cosecha?, ¿quién trabaja en la limpieza, hoteles y restaurants? ¿Y quién se mata trabajando en construcción? Mientras el patrón regaña, tejiendo la telaraña, en su lujosa mansión  Muchas veces ni nos pagan Para que sane la llaga como sale envenenada, nos echan la inmigración Si con mi canto pudiera, derrumbaría las fronteras para que el mundo viviera Con una sola bandera, en una misma nación  De paisano a paisano, del hermano al hermano Por querer trabajar Nos han hecho la guerra patrullando fronteras No nos pueden domar  De paisano a paisano, del hermano al hermano Es de hombres es llorar Como duele la patria cuando llora mi raza Llanto internacional"
Los Tigres Del Norte,La Jaula De Oro,"Aquí estoy establecido En los Estados Unidos Diez años pasaron ya En que cruce de mojado Papeles no he arreglado Sigo siendo un ilegal  Tengo mi esposa y mis hijos Que me las traje muy chicos Y se han olvidado ya De mi México querido Del que yo nunca me olvido Y no puedo regresar De que me sirve el dinero Si estoy como prisionero Dentro de esta gran nación Cuando me acuerdo hasta lloro Aunque la jaula sea de oro No deja de ser prisión  ""Escúchame hijo Te gustaría que regresáramos a vivir México?"" ""Whatcha talkin' about dad? I don't wanna go back to Mexico, no way dad""  Mis hijos no hablan conmigo Otro idioma han aprendido, y olvidado el español Piensan como Americanos, niegan que son Mexicanos Aunque tengan mi color  De mi trabajo a mi casa No sé lo que me pasa Que aunque soy hombre de hogar Casi no salgo a la calle Pues tengo miedo que me hallen Y me pueden deportar  De que me sirve el dinero Si estoy como prisionero Dentro de esta gran nación Cuando me acuerdo hasta lloro Aunque la jaula sea de oro No deja de ser prisión"
Los Tigres Del Norte,Mi Sangre Prisionera,"Hello? Hey dad, you have to come and get me out of here, man, now ¿Eres tú hjo?, ¿dónde estás? Pero apúrate papá, ven a sacarme de aquí ¿En la cárcel?, ¿pero cómo? ¿Bueno?, ¿bueno?, ¿aló?, ¿bueno?, ¿aló?, ¿bueno?  Sentí que el alma me explotaba en mil pedazos Abrí los brazos para poderlo abrazar Lo vi tan lindo jugueteando en mi regazo Sentí que el llanto me empezaba a traicionar Tras de las rejas me miraba con cariño Ya no era un niño era todo un criminal Perdí la vida enredado en los negocios Fueron mis socios, la locura y la ambición No tuve tiempo de jugar con el un poco Ni cultivarle con amor su corazón Me lo educaron por las calles poco a poco Me lo entregaron con diploma de prisión  Cómo quisiera regresarlo quince años Y que su celda le pudiera derrumbar Como me duele ver mi sangre prisionera Como una fiera caminar por el penal Siento en el alma los reproches de su madre Él no es culpable y yo soy el criminal  ¿Dónde ha quedado mi niño? Cuando me pidió cariño no le abrí mi corazón Nunca lo lleve a la escuela Poco lo arrulle en mis brazos  Tampoco le di su abrazo el día de su graduación Hice mi Dios del dinero Y al hijo que tanto quiero lo hice fiera de prisión ¿De qué me sirvió el dinero? Si terminé limosnero, mendigando por mi hijo compasión  Cómo quisiera regresarlo quince años Y que su celda le pudiera derrumbar Como me duele ver mi sangre prisionera Como una fiera caminar por el penal Siento en el alma los reproches de su madre Él no es culpable y yo soy el criminal"
Los Tigres Del Norte,Somos Mas Americanos,"Ya me gritaron mil veces que me regrese a mi tierra porque aquí no quepo yo.  Quiero recordarle al gringo: Yo no crucé la frontera, la frontera me cruzó. América nació libre, el hombre la dividió.  Ellos pintaron la raya para que yo la brincara y me llaman invasor. Es un error bien marcado, nos quitaron ocho estados. ¿Quién es aquí el invasor? Soy extranjero en mi tierra y no vengo a darles guerra, soy hombre trabajador.  Y si no miente la historia, aquí se sentó en la gloria la poderosa nación entre guerreros valientes, indios de dos continentes mezclados con español. Y si a los siglos nos vamos: Somos más americanos, somos más americanos que el hijo de anglosajón. Nos compraron sin dinero las aguas del río Bravo. Y nos quitaron a Texas, Nuevo México, Arizona y Colorado. También voló California y Nevada. Con Utah no se llenaron. El estado de Wyoming también nos lo arrebataron. Yo soy la sangre del indio. Soy latino, soy mestizo. Somos de todos colores y de todos los oficios. Y si contamos los siglos, aunque le duela al vecino, somos más americanos que todititos los gringos. Y si no miente la historia, aquí se sentó en la gloria la poderosa nación entre guerreros valientes, indios de dos continentes mezclados con español. Y si a los siglos nos vamos: Somos más americanos, somos más americanos que el hijo de anglosajón.1"
Los Tigres Del Norte,America,"Haber nacido en América es como una bendición Tierra de bellas imágenes que alegra el corazón Mosaico de mil colores, bellas mujeres y flores Para los pueblos de América les canto mi canción     Del color de la tierra yo he nacido Por herencia mi idioma es castellano  Los del norte dicen que soy latino  No me quieren decir Americano Soy un gaucho al galope por las pampas  Soy charrúa, soy jíbaro otomano  Soy chapín, esquimal, Príncipe Maya  Soy guajiro, soy charro Mexicano   Si el que nace en Europa es Europeo  Y el que nace en el África, Africano  Yo que he nacido en América y no veo Por qué yo no he de ser Americano   Porque América es todo el continente  Y el que nace aquí es Americano El color podrá ser diferente  Mas como hijos de Dios somos hermanos   Desde Argentina, Colombia, Ecuador y Paraguay Brasil, Chile y Costa Rica, Salvador y el Uruguay Venezuela y Guatemala, México, Cuba y Bahamas Todos son Americanos sin importar el color  De América, yo soy De América, yo soy De América, yo soy De América, yo soy  . . . ."
Los Tigres Del Norte,Tres Veces Mojado,"Cuando me vine de mi tierra El Salvador Con la intención de llegar a Estados Unidos Sabía que necesitaría más que valor Sabía que a lo mejor quedaba en el camino  Son tres fronteras las que tuve que cruzar Por tres países anduve indocumentado Tres veces tuve yo la vida que arriesgar Por eso dicen que soy tres veces mojado  En Guatemala y México cuando crucé Dos veces me salvé me hicieran prisionero El mismo idioma y el color reflexioné ¿Cómo es posible que me llamen extranjero? En Centroamérica, dado su situación tanto política como económicamente Ya para muchos, no hay otra solución que abandonar su patria, tal vez, para siempre El mexicano da dos pasos y aquí está, hoy lo echan y al siguiente día está de regreso Eso es un lujo que no me puedo dar sin que me maten o que me lleven preso  Es lindo México, pero cuánto sufrí Atravesarlo sin papeles es muy duro Los cinco mil kilómetros que recorrí Puedo decir que los recuerdo uno por uno  Por Arizona me dijeron ""cruzarás"" Y que me aviento por el medio del desierto Por suerte un mexicano al que llamaban Juan Me dio la mano, que si no estuviera muerto  Ahora que al fin logré la legalización Lo que sufrí lo he recuperado con creces A los mojados les dedico mi canción Y los que igual que yo, son mojados tres veces"
Vicente Fernandez,Los Mandados,"Crucé el rio grande nadando Sin importarme dos riales Me echo la migra pa'fuera Y fui a caer a nogales Entre por otra frontera Y que me avientan pa' Juarez De ahí me fui a Tamaulipas Y me colé por Laredo Me disfracé de gabacho Y me pinté el pelo güero Y como no hablaba ingles Que me retachan de nuevo La migra a mi me agarró Trescientas veces digamos Pero jamas me domó A mi me hizo los mandados Los golpes que a mi me dio Se los cobré a sus paisanos Por Mexicali yo entré Y san luis colorado Todas las lineas crucé De contrabando y mojado Pero jamas me rajé Y me venia al otro lado  Conozco todas las lineas Caminos, ríos y canales Desde Tijuana Reynosa De matamoros a Juarez De piedras negras al paso Y de agua prieta a nogales La migra a mi me agarró Trescientas veces digamos Pero jamas me domó A mi me hizo los mandados Los golpes que a mi me dio Se los cobré a sus paisanos"
Los Tigres Del Norte,Mis Dos Patrias,"Raise your right hand and repeat after me:  ""l pledge allegiance to the flag Of the united states of america And to the republic for which it stands One nation under god, Indivisible With liberty and justice for all""  Congratulations, you are now all american citizens  Para quien dice que yo soy un malinchista y que traiciono a mi bandera y mi nación Para que rompa con mi canto las fronteras, les voy abrir de par en par mi corazón Dejé las tumbas de mis padres, mis abuelos; llegué llorando a tierra de anglosajón Yo trabajaba,mis hijos íban creciendo, todos nacieròn bajo de esta Gran naciòn Y mis derechos los han ido pisoteando Van formulando leyes De constituciòn K hare ya viejo si me quitan Mi dinero Yo solo quiero mi seguro de pensiòn  Pero k importa si soy nuevo ciudadano Sigo siendo mexicano como El pulque y el nopal Y mis hermanos centro Y sudamericanos,caribeños O cubanos traen la sangre Tropical para k respeten los Derechos de mi raza Caben 2 patrias en el mismo corazòn  HABLADO.... El juez se paro en la corte La tarde del juramento De mi corazòn brotaba una Lagrima salada k me quemaba x dentro 2 banderas me turbaban Una verde,blanca y roja con El aguila estampada La otra con su azul lleno De estrellas,con sus rayas rojas y Blancas grabadas, la bandera De mis hijos k Alegres me contemplaban No me llamen traicionero K a mis 2 patrias las quiero En la mia deje a mis muertos Aqui,aqui mis hijos nacieron X defender mis derechos No puedo ser traicionero Pero k importa si soy nuevo Ciudadano etc.........."
Los Tigres Del Norte,El Mojado Acaudalado,"Me está esperando, México lindo, por eso mismo me voy a ir Soy el mojado acaudalado, pero en mi tierra quiero morir  Adiós, adiós California, Texas, Chicago, Illinois Me llevaré su recuerdo porque a mi tierra me voy Pues aunque tengo dinero, no soy feliz donde estoy  Adiós, adiós Colorado, Nevada y Oregon Adiós les dice el mojado que se empapo de sudor En los campos de Arizona, fábricas de Nueva York Me está esperando, México lindo, por eso mismo me voy a ir Soy el mojado acaudalado, pero en mi tierra quiero morir  Aventurero y mojado, hablando muy bien Inglés Ya me pasee por Atlanta, por Oklahoma también Recia una güera en Florida: ""I love you mexican men""  De los Estados Unidos yo no me voy olvidar Quise tener buen dinero y me lo vine a ganar Pero en mi tierra querida yo me lo pienso a gastar  Me está esperando, México lindo, por eso mismo me voy a ir Soy el mojado acaudalado, pero en mi tierra quiero morir"
Los Tigres Del Norte,Ni Parientes Somos,"¿Por qué voy a llorar cuando te vayas? Si alguna vez tenía que terminar Este cariño ardiente como el fuego Si sé que el fuego, se tienen que apagar  ¿Por qué voy a llorar cuando te alejes Y digas que ya no regresarás? Es cierto que me duele que me dejes, pero como otras veces, ya se me pasará ¿Porque voy a llorar por tu abandono?, si ni parientes somos, lo mismo a mi me da  Si antes que tú yo había tenido otros amores Que en su momento quise tanto como a ti Cuando alguien muere siempre se le mandan flores Y tú ni flores vas a recibir de mi ¿Por qué voy a llorar cuando te alejes Y digas que ya no regresarás? Es cierto que me duele que me dejes, pero como otras veces, ya se me pasará ¿Porque voy a llorar por tu abandono?, si ni parientes somos, lo mismo a mi me da  Si antes que tú yo había tenido otros amores Que en su momento quise tanto como a ti Cuando alguien muere siempre se le mandan flores Y tú ni flores vas a recibir de mi"
Los Tigres Del Norte,Pedro Y Pablo,"Pedro y Pablo eran hermanos y amigos inseparables Quedaron abandonados cuando murieron sus padres Pedro el mayor se decía que a Pablo nada le falte  Pedro hablo con entereza: “Tienes que seguir la escuela Tienes muy buena cabeza, yo me voy aunque nos duela Yo trabajo y tu estudias, al cabo que el tiempo vuela”  Pedro se fue para el norte y cruzó pa'l otro lado Dijo a su novia Leticia: “Hay te lo dejo encargado” Y al transcurso de los años, Pablo se hizo licenciado “Pedro que gusto de verte”, “Supe que eras licenciado” “No se como agradecerte”, ""No me agradezcas hermano” “Quiero decirte una cosa”, “Habla te estoy escuchando” “Conocerás a mi esposa”, “Es lo que estoy esperando”  “Gracias Señor, que haz permitido realizar su vida a mi hermano querido Hoy sé que mi esfuerzo no fue en vano Ya podré ser feliz con la mujer que tanto amo”  “Esta es mi esposa Leticia"", “Creo que ya nos conocemos” “Se te borro la sonrisa”, “Es que me vino un recuerdo” “Vas a quedarte en la casa?”, “Eso yo nunca podría” “Pedro que es lo que te pasa?”, ""Es que lloro de alegría”  No es que Pablo fuera malo o que no supo apreciar El sacrificio de hermano que Pedro supo brindar De Leticia mejor ni hablo, ella si se portó mal"
Calibre 50,Corrido De Juanito,"   Casi catorce años sin ir a mi tierra a donde nací Ya todo ha cambiado, le ruego a mi Dios, no se olviden de mí Se murió mi madre Y dice mi padre que ya está muy viejo y no quiere venir Y yo sin poder ir, y yo sin poder ir   Trabaje y trabaje, tengo muchos días que no miro el sol Mis hijos son grandes y no les entiendo, no hablan español No han sentido miedo Aquel que no ha visto una camioneta de migración O una deportación, o una deportación  De botitas y sombrero, me miran seguido por el freeway Jardinero o cocinero, igual me la rifo, dirán anyways Y aunque me miren pa' abajo la cara levanto Empinándome un bote Como quiera, soy amigo y también Mexicano Mexicano hasta El Tope   Y como mucho cariño de parte Calibre 50 Corrido para toda la Raza   La vida no es fácil y menos acá, lo que dicen no es cierto Nomás de acordarme las miles de cruces que vi en el desierto Las noches son tristes Pensando y pensando en los que se quedaron, se me pasa el tiempo Y en ver a mi viejo, y en ver a mi viejo   Más que agradecido estoy con mi dios por lo que me ha dado Les mando un saludo a todos mis primos, mis tíos y hermanos Con los ojos tristes Y paso cansado, promete Juanito que va a visitarlos Y poder abrazarlos, y poder abrazarlos  De botitas y sombrero me miran seguido por el freeway Jardinero o cocinero, igual me la rifo dirán anyways Y aunque me miren pa' abajo la cara levanto Empinándome un bote Como quiera soy amigo y también mexicano Mexicano hasta El Tope2"
Calibre 50,El Inmigrante,"Apenas tenia 17 Cuando cruce la frontera Se lo prometí a mi viejesita Sacarla de la pobreza Me quemaban las noches de frio Por poquito me ahogaba en el rio Y aquellos que sufrieron lo mismo Les dedico este corrido  Soy uno de tantos Mexicanos Que trabajan día con día Para darle futuro a mis hijos Y ayudar a mi familia Como extraño mi rancho querido Mis amigos que no los olvido Y a mis viejos que hace varios años Que no los he visto Piensan que por que brinque la linea Soy un narcotraficante Ya basta de mil humillaciones Nomas por ser ""Inmigrante"" Estoy cantando por toda mi gente No lo olviden tenganlo presente Que aquellos a los que no querían Hoy los hacen presidentes    El trabajo aquí ha sido muy duro Pero nunca me he rajado Y las cosas que yo he conseguido Con esfuerzo me he ganado Y aquel que se fue pal otro lado Y dejo en su país su pasado Quien pensaba de aquel muchachito Y miren lo que a logrado  Nos han prometido tantas cosas Y no nos han dado nada Igualdad, respeto, y tolerancia Es lo que pide mi raza Estoy cantando por toda mi gente No lo olviden tenganlo presente Y aquellos a los que no querían Hoy los hacen presidentes"
Los Tigres Del Norte,De Paisano A Paisano,"Como el águila en vuelo, como la fiera en celo Desafiando fronteras, defendiendo el honor He pasado la vida explorando otras tierras Para darles a mis hijos un mañana mejor  Si la muerte me alcanza en su loca carrera Envuelto en mi bandera que me lleven allá Que me canten el himno de mi patria diez meses O me muero dos veces si me entierran acá  De paisano a paisano, del hermano al hermano Por querer trabajar Nos han hecho la guerra patrullando fronteras No nos pueden domar De paisano a paisano, del hermano al hermano Es de hombres es llorar Como duele la patria cuando llora mi raza Llanto internacional  De paisano a paisano, antes de seguir cantando, yo le pregunto al patrón ¿Quién recoge la cosecha?, ¿quién trabaja en la limpieza, hoteles y restaurants? ¿Y quién se mata trabajando en construcción? Mientras el patrón regaña, tejiendo la telaraña, en su lujosa mansión  Muchas veces ni nos pagan Para que sane la llaga como sale envenenada, nos echan la inmigración Si con mi canto pudiera, derrumbaría las fronteras para que el mundo viviera Con una sola bandera, en una misma nación  De paisano a paisano, del hermano al hermano Por querer trabajar Nos han hecho la guerra patrullando fronteras No nos pueden domar  De paisano a paisano, del hermano al hermano Es de hombres es llorar Como duele la patria cuando llora mi raza Llanto internacional"
Los Tigres Del Norte,La Jaula De Oro,"Aquí estoy establecido En los Estados Unidos Diez años pasaron ya En que cruce de mojado Papeles no he arreglado Sigo siendo un ilegal  Tengo mi esposa y mis hijos Que me las traje muy chicos Y se han olvidado ya De mi México querido Del que yo nunca me olvido Y no puedo regresar De que me sirve el dinero Si estoy como prisionero Dentro de esta gran nación Cuando me acuerdo hasta lloro Aunque la jaula sea de oro No deja de ser prisión  ""Escúchame hijo Te gustaría que regresáramos a vivir México?"" ""Whatcha talkin' about dad? I don't wanna go back to Mexico, no way dad""  Mis hijos no hablan conmigo Otro idioma han aprendido, y olvidado el español Piensan como Americanos, niegan que son Mexicanos Aunque tengan mi color  De mi trabajo a mi casa No sé lo que me pasa Que aunque soy hombre de hogar Casi no salgo a la calle Pues tengo miedo que me hallen Y me pueden deportar  De que me sirve el dinero Si estoy como prisionero Dentro de esta gran nación Cuando me acuerdo hasta lloro Aunque la jaula sea de oro No deja de ser prisión"
Los Tigres Del Norte,Mi Sangre Prisionera,"Hello? Hey dad, you have to come and get me out of here, man, now ¿Eres tú hjo?, ¿dónde estás? Pero apúrate papá, ven a sacarme de aquí ¿En la cárcel?, ¿pero cómo? ¿Bueno?, ¿bueno?, ¿aló?, ¿bueno?, ¿aló?, ¿bueno?  Sentí que el alma me explotaba en mil pedazos Abrí los brazos para poderlo abrazar Lo vi tan lindo jugueteando en mi regazo Sentí que el llanto me empezaba a traicionar Tras de las rejas me miraba con cariño Ya no era un niño era todo un criminal Perdí la vida enredado en los negocios Fueron mis socios, la locura y la ambición No tuve tiempo de jugar con el un poco Ni cultivarle con amor su corazón Me lo educaron por las calles poco a poco Me lo entregaron con diploma de prisión  Cómo quisiera regresarlo quince años Y que su celda le pudiera derrumbar Como me duele ver mi sangre prisionera Como una fiera caminar por el penal Siento en el alma los reproches de su madre Él no es culpable y yo soy el criminal  ¿Dónde ha quedado mi niño? Cuando me pidió cariño no le abrí mi corazón Nunca lo lleve a la escuela Poco lo arrulle en mis brazos  Tampoco le di su abrazo el día de su graduación Hice mi Dios del dinero Y al hijo que tanto quiero lo hice fiera de prisión ¿De qué me sirvió el dinero? Si terminé limosnero, mendigando por mi hijo compasión  Cómo quisiera regresarlo quince años Y que su celda le pudiera derrumbar Como me duele ver mi sangre prisionera Como una fiera caminar por el penal Siento en el alma los reproches de su madre Él no es culpable y yo soy el criminal"
Los Tigres Del Norte,Somos Mas Americanos,"Ya me gritaron mil veces que me regrese a mi tierra porque aquí no quepo yo.  Quiero recordarle al gringo: Yo no crucé la frontera, la frontera me cruzó. América nació libre, el hombre la dividió.  Ellos pintaron la raya para que yo la brincara y me llaman invasor. Es un error bien marcado, nos quitaron ocho estados. ¿Quién es aquí el invasor? Soy extranjero en mi tierra y no vengo a darles guerra, soy hombre trabajador.  Y si no miente la historia, aquí se sentó en la gloria la poderosa nación entre guerreros valientes, indios de dos continentes mezclados con español. Y si a los siglos nos vamos: Somos más americanos, somos más americanos que el hijo de anglosajón. Nos compraron sin dinero las aguas del río Bravo. Y nos quitaron a Texas, Nuevo México, Arizona y Colorado. También voló California y Nevada. Con Utah no se llenaron. El estado de Wyoming también nos lo arrebataron. Yo soy la sangre del indio. Soy latino, soy mestizo. Somos de todos colores y de todos los oficios. Y si contamos los siglos, aunque le duela al vecino, somos más americanos que todititos los gringos. Y si no miente la historia, aquí se sentó en la gloria la poderosa nación entre guerreros valientes, indios de dos continentes mezclados con español. Y si a los siglos nos vamos: Somos más americanos, somos más americanos que el hijo de anglosajón.1"
Los Tigres Del Norte,America,"Haber nacido en América es como una bendición Tierra de bellas imágenes que alegra el corazón Mosaico de mil colores, bellas mujeres y flores Para los pueblos de América les canto mi canción     Del color de la tierra yo he nacido Por herencia mi idioma es castellano  Los del norte dicen que soy latino  No me quieren decir Americano Soy un gaucho al galope por las pampas  Soy charrúa, soy jíbaro otomano  Soy chapín, esquimal, Príncipe Maya  Soy guajiro, soy charro Mexicano   Si el que nace en Europa es Europeo  Y el que nace en el África, Africano  Yo que he nacido en América y no veo Por qué yo no he de ser Americano   Porque América es todo el continente  Y el que nace aquí es Americano El color podrá ser diferente  Mas como hijos de Dios somos hermanos   Desde Argentina, Colombia, Ecuador y Paraguay Brasil, Chile y Costa Rica, Salvador y el Uruguay Venezuela y Guatemala, México, Cuba y Bahamas Todos son Americanos sin importar el color  De América, yo soy De América, yo soy De América, yo soy De América, yo soy  . . . ."
Los Tigres Del Norte,Tres Veces Mojado,"Cuando me vine de mi tierra El Salvador Con la intención de llegar a Estados Unidos Sabía que necesitaría más que valor Sabía que a lo mejor quedaba en el camino  Son tres fronteras las que tuve que cruzar Por tres países anduve indocumentado Tres veces tuve yo la vida que arriesgar Por eso dicen que soy tres veces mojado  En Guatemala y México cuando crucé Dos veces me salvé me hicieran prisionero El mismo idioma y el color reflexioné ¿Cómo es posible que me llamen extranjero? En Centroamérica, dado su situación tanto política como económicamente Ya para muchos, no hay otra solución que abandonar su patria, tal vez, para siempre El mexicano da dos pasos y aquí está, hoy lo echan y al siguiente día está de regreso Eso es un lujo que no me puedo dar sin que me maten o que me lleven preso  Es lindo México, pero cuánto sufrí Atravesarlo sin papeles es muy duro Los cinco mil kilómetros que recorrí Puedo decir que los recuerdo uno por uno  Por Arizona me dijeron ""cruzarás"" Y que me aviento por el medio del desierto Por suerte un mexicano al que llamaban Juan Me dio la mano, que si no estuviera muerto  Ahora que al fin logré la legalización Lo que sufrí lo he recuperado con creces A los mojados les dedico mi canción Y los que igual que yo, son mojados tres veces"
Vicente Fernandez,Los Mandados,"Crucé el rio grande nadando Sin importarme dos riales Me echo la migra pa'fuera Y fui a caer a nogales Entre por otra frontera Y que me avientan pa' Juarez De ahí me fui a Tamaulipas Y me colé por Laredo Me disfracé de gabacho Y me pinté el pelo güero Y como no hablaba ingles Que me retachan de nuevo La migra a mi me agarró Trescientas veces digamos Pero jamas me domó A mi me hizo los mandados Los golpes que a mi me dio Se los cobré a sus paisanos Por Mexicali yo entré Y san luis colorado Todas las lineas crucé De contrabando y mojado Pero jamas me rajé Y me venia al otro lado  Conozco todas las lineas Caminos, ríos y canales Desde Tijuana Reynosa De matamoros a Juarez De piedras negras al paso Y de agua prieta a nogales La migra a mi me agarró Trescientas veces digamos Pero jamas me domó A mi me hizo los mandados Los golpes que a mi me dio Se los cobré a sus paisanos"
Los Tigres Del Norte,Mis Dos Patrias,"Raise your right hand and repeat after me:  ""l pledge allegiance to the flag Of the united states of america And to the republic for which it stands One nation under god, Indivisible With liberty and justice for all""  Congratulations, you are now all american citizens  Para quien dice que yo soy un malinchista y que traiciono a mi bandera y mi nación Para que rompa con mi canto las fronteras, les voy abrir de par en par mi corazón Dejé las tumbas de mis padres, mis abuelos; llegué llorando a tierra de anglosajón Yo trabajaba,mis hijos íban creciendo, todos nacieròn bajo de esta Gran naciòn Y mis derechos los han ido pisoteando Van formulando leyes De constituciòn K hare ya viejo si me quitan Mi dinero Yo solo quiero mi seguro de pensiòn  Pero k importa si soy nuevo ciudadano Sigo siendo mexicano como El pulque y el nopal Y mis hermanos centro Y sudamericanos,caribeños O cubanos traen la sangre Tropical para k respeten los Derechos de mi raza Caben 2 patrias en el mismo corazòn  HABLADO.... El juez se paro en la corte La tarde del juramento De mi corazòn brotaba una Lagrima salada k me quemaba x dentro 2 banderas me turbaban Una verde,blanca y roja con El aguila estampada La otra con su azul lleno De estrellas,con sus rayas rojas y Blancas grabadas, la bandera De mis hijos k Alegres me contemplaban No me llamen traicionero K a mis 2 patrias las quiero En la mia deje a mis muertos Aqui,aqui mis hijos nacieron X defender mis derechos No puedo ser traicionero Pero k importa si soy nuevo Ciudadano etc.........."
Los Tigres Del Norte,El Mojado Acaudalado,"Me está esperando, México lindo, por eso mismo me voy a ir Soy el mojado acaudalado, pero en mi tierra quiero morir  Adiós, adiós California, Texas, Chicago, Illinois Me llevaré su recuerdo porque a mi tierra me voy Pues aunque tengo dinero, no soy feliz donde estoy  Adiós, adiós Colorado, Nevada y Oregon Adiós les dice el mojado que se empapo de sudor En los campos de Arizona, fábricas de Nueva York Me está esperando, México lindo, por eso mismo me voy a ir Soy el mojado acaudalado, pero en mi tierra quiero morir  Aventurero y mojado, hablando muy bien Inglés Ya me pasee por Atlanta, por Oklahoma también Recia una güera en Florida: ""I love you mexican men""  De los Estados Unidos yo no me voy olvidar Quise tener buen dinero y me lo vine a ganar Pero en mi tierra querida yo me lo pienso a gastar  Me está esperando, México lindo, por eso mismo me voy a ir Soy el mojado acaudalado, pero en mi tierra quiero morir"
Los Tigres Del Norte,Ni Parientes Somos,"¿Por qué voy a llorar cuando te vayas? Si alguna vez tenía que terminar Este cariño ardiente como el fuego Si sé que el fuego, se tienen que apagar  ¿Por qué voy a llorar cuando te alejes Y digas que ya no regresarás? Es cierto que me duele que me dejes, pero como otras veces, ya se me pasará ¿Porque voy a llorar por tu abandono?, si ni parientes somos, lo mismo a mi me da  Si antes que tú yo había tenido otros amores Que en su momento quise tanto como a ti Cuando alguien muere siempre se le mandan flores Y tú ni flores vas a recibir de mi ¿Por qué voy a llorar cuando te alejes Y digas que ya no regresarás? Es cierto que me duele que me dejes, pero como otras veces, ya se me pasará ¿Porque voy a llorar por tu abandono?, si ni parientes somos, lo mismo a mi me da  Si antes que tú yo había tenido otros amores Que en su momento quise tanto como a ti Cuando alguien muere siempre se le mandan flores Y tú ni flores vas a recibir de mi"
